geo,racial group,topic,topic_type,filename,conj
National,NHPI Alone,Education,Less than HS,edu,with
National,Black Alone,Education,Less than HS,edu,with
National,Non-Hispanic White Alone,Education,Less than HS,edu,with
National,Latino Alone,Education,Less than HS,edu,with
National,AIAN Alone,Education,Less than HS,edu,with
State,Asian Alone,Education,Less than HS,edu,with
State,NHPI Alone,Education,Less than HS,edu,with
State,Black Alone,Education,Less than HS,edu,with
State,Non-Hispanic White Alone,Education,Less than HS,edu,with
State,Latino Alone,Education,Less than HS,edu,with
State,AIAN Alone,Education,Less than HS,edu,with
County,Asian Alone,Education,Less than HS,edu,with
County,NHPI Alone,Education,Less than HS,edu,with
County,Black Alone,Education,Less than HS,edu,with
County,Non-Hispanic White Alone,Education,Less than HS,edu,with
County,Latino Alone,Education,Less than HS,edu,with
County,AIAN Alone,Education,Less than HS,edu,with
Congressional District,Asian Alone,Education,Less than HS,edu,with
Congressional District,NHPI Alone,Education,Less than HS,edu,with
Congressional District,Black Alone,Education,Less than HS,edu,with
Congressional District,Non-Hispanic White Alone,Education,Less than HS,edu,with
Congressional District,Latino Alone,Education,Less than HS,edu,with
Congressional District,AIAN Alone,Education,Less than HS,edu,with
National,Asian Alone,Education,HS or GED,edu,with
National,NHPI Alone,Education,HS or GED,edu,with
National,Black Alone,Education,HS or GED,edu,with
National,Non-Hispanic White Alone,Education,HS or GED,edu,with
National,Latino Alone,Education,HS or GED,edu,with
National,AIAN Alone,Education,HS or GED,edu,with
State,Asian Alone,Education,HS or GED,edu,with
State,NHPI Alone,Education,HS or GED,edu,with
State,Black Alone,Education,HS or GED,edu,with
State,Non-Hispanic White Alone,Education,HS or GED,edu,with
State,Latino Alone,Education,HS or GED,edu,with
State,AIAN Alone,Education,HS or GED,edu,with
County,Asian Alone,Education,HS or GED,edu,with
County,NHPI Alone,Education,HS or GED,edu,with
County,Black Alone,Education,HS or GED,edu,with
County,Non-Hispanic White Alone,Education,HS or GED,edu,with
County,Latino Alone,Education,HS or GED,edu,with
County,AIAN Alone,Education,HS or GED,edu,with
Congressional District,Asian Alone,Education,HS or GED,edu,with
Congressional District,NHPI Alone,Education,HS or GED,edu,with
Congressional District,Black Alone,Education,HS or GED,edu,with
Congressional District,Non-Hispanic White Alone,Education,HS or GED,edu,with
Congressional District,Latino Alone,Education,HS or GED,edu,with
Congressional District,AIAN Alone,Education,HS or GED,edu,with
National,Asian Alone,Nativity,foreign-born,nativity,that are
National,NHPI Alone,Nativity,foreign-born,nativity,that are
National,Black Alone,Nativity,foreign-born,nativity,that are
National,Non-Hispanic White Alone,Nativity,foreign-born,nativity,that are
National,Latino Alone,Nativity,foreign-born,nativity,that are
National,AIAN Alone,Nativity,foreign-born,nativity,that are
State,Asian Alone,Nativity,foreign-born,nativity,that are
State,NHPI Alone,Nativity,foreign-born,nativity,that are
State,Black Alone,Nativity,foreign-born,nativity,that are
State,Non-Hispanic White Alone,Nativity,foreign-born,nativity,that are
State,Latino Alone,Nativity,foreign-born,nativity,that are
State,AIAN Alone,Nativity,foreign-born,nativity,that are
County,Asian Alone,Nativity,foreign-born,nativity,that are
County,NHPI Alone,Nativity,foreign-born,nativity,that are
County,Black Alone,Nativity,foreign-born,nativity,that are
County,Non-Hispanic White Alone,Nativity,foreign-born,nativity,that are
County,Latino Alone,Nativity,foreign-born,nativity,that are
County,AIAN Alone,Nativity,foreign-born,nativity,that are
Congressional District,Asian Alone,Nativity,foreign-born,nativity,that are
Congressional District,NHPI Alone,Nativity,foreign-born,nativity,that are
Congressional District,Black Alone,Nativity,foreign-born,nativity,that are
Congressional District,Non-Hispanic White Alone,Nativity,foreign-born,nativity,that are
Congressional District,Latino Alone,Nativity,foreign-born,nativity,that are
Congressional District,AIAN Alone,Nativity,foreign-born,nativity,that are
National,Asian Alone,Education,BA or higher,edu,with a
National,NHPI Alone,Education,BA or higher,edu,with a
National,Black Alone,Education,BA or higher,edu,with a
National,Non-Hispanic White Alone,Education,BA or higher,edu,with a
National,Latino Alone,Education,BA or higher,edu,with a
National,AIAN Alone,Education,BA or higher,edu,with a
State,Asian Alone,Education,BA or higher,edu,with a
State,NHPI Alone,Education,BA or higher,edu,with a
State,Black Alone,Education,BA or higher,edu,with a
State,Non-Hispanic White Alone,Education,BA or higher,edu,with a
State,Latino Alone,Education,BA or higher,edu,with a
State,AIAN Alone,Education,BA or higher,edu,with a
County,Asian Alone,Education,BA or higher,edu,with a
County,NHPI Alone,Education,BA or higher,edu,with a
County,Black Alone,Education,BA or higher,edu,with a
County,Non-Hispanic White Alone,Education,BA or higher,edu,with a
County,Latino Alone,Education,BA or higher,edu,with a
County,AIAN Alone,Education,BA or higher,edu,with a
Congressional District,Asian Alone,Education,BA or higher,edu,with a
Congressional District,NHPI Alone,Education,BA or higher,edu,with a
Congressional District,Black Alone,Education,BA or higher,edu,with a
Congressional District,Non-Hispanic White Alone,Education,BA or higher,edu,with a
Congressional District,Latino Alone,Education,BA or higher,edu,with a
Congressional District,AIAN Alone,Education,BA or higher,edu,with a
